fund_name,nav_date,nav_value
DSP Midcap Fund – Direct Plan – Growth,2014-07-11,27.179
DSP Midcap Fund – Direct Plan – Growth,2014-07-14,27.369
DSP Midcap Fund – Direct Plan – Growth,2014-07-15,28.095
DSP Midcap Fund – Direct Plan – Growth,2014-07-16,28.604
DSP Midcap Fund – Direct Plan – Growth,2014-07-17,28.909
DSP Midcap Fund – Direct Plan – Growth,2014-07-18,28.858
DSP Midcap Fund – Direct Plan – Growth,2014-07-21,28.847
DSP Midcap Fund – Direct Plan – Growth,2014-07-22,28.859
DSP Midcap Fund – Direct Plan – Growth,2014-07-23,28.766
DSP Midcap Fund – Direct Plan – Growth,2014-07-24,28.738
DSP Midcap Fund – Direct Plan – Growth,2014-07-25,28.337
DSP Midcap Fund – Direct Plan – Growth,2014-07-28,28.118
DSP Midcap Fund – Direct Plan – Growth,2014-07-30,28.496
DSP Midcap Fund – Direct Plan – Growth,2014-07-31,28.326
DSP Midcap Fund – Direct Plan – Growth,2014-08-01,28.107
DSP Midcap Fund – Direct Plan – Growth,2014-08-04,28.525
DSP Midcap Fund – Direct Plan – Growth,2014-08-05,28.732
DSP Midcap Fund – Direct Plan – Growth,2014-08-06,28.467
DSP Midcap Fund – Direct Plan – Growth,2014-08-07,28.433
DSP Midcap Fund – Direct Plan – Growth,2014-08-08,27.737
DSP Midcap Fund – Direct Plan – Growth,2014-08-11,27.973
DSP Midcap Fund – Direct Plan – Growth,2014-08-12,28.322
DSP Midcap Fund – Direct Plan – Growth,2014-08-13,27.671
DSP Midcap Fund – Direct Plan – Growth,2014-08-14,27.967
DSP Midcap Fund – Direct Plan – Growth,2014-08-18,28.528
DSP Midcap Fund – Direct Plan – Growth,2014-08-19,28.887
DSP Midcap Fund – Direct Plan – Growth,2014-08-20,28.965
DSP Midcap Fund – Direct Plan – Growth,2014-08-21,29.1
DSP Midcap Fund – Direct Plan – Growth,2014-08-22,29.302
DSP Midcap Fund – Direct Plan – Growth,2014-08-25,29.08
DSP Midcap Fund – Direct Plan – Growth,2014-08-26,29.156
DSP Midcap Fund – Direct Plan – Growth,2014-08-27,29.563
DSP Midcap Fund – Direct Plan – Growth,2014-08-28,29.528
DSP Midcap Fund – Direct Plan – Growth,2014-09-01,30.086
DSP Midcap Fund – Direct Plan – Growth,2014-09-02,30.277
DSP Midcap Fund – Direct Plan – Growth,2014-09-03,30.387
DSP Midcap Fund – Direct Plan – Growth,2014-09-04,30.423
DSP Midcap Fund – Direct Plan – Growth,2014-09-05,30.733
DSP Midcap Fund – Direct Plan – Growth,2014-09-08,31.194
DSP Midcap Fund – Direct Plan – Growth,2014-09-09,31.302
DSP Midcap Fund – Direct Plan – Growth,2014-09-10,31.366
DSP Midcap Fund – Direct Plan – Growth,2014-09-11,31.853
DSP Midcap Fund – Direct Plan – Growth,2014-09-12,31.928
DSP Midcap Fund – Direct Plan – Growth,2014-09-15,32.02
