date,fund_name,nav,cap,fund_type
2013-11-21,DSP Midcap Fund,18.423,Mid Cap,Equity
2013-11-22,DSP Midcap Fund,18.502,Mid Cap,Equity
2013-11-23,DSP Midcap Fund,18.502,Mid Cap,Equity
2013-11-24,DSP Midcap Fund,18.502,Mid Cap,Equity
2013-11-25,DSP Midcap Fund,18.626,Mid Cap,Equity
2013-11-26,DSP Midcap Fund,18.591,Mid Cap,Equity
2013-11-27,DSP Midcap Fund,18.66,Mid Cap,Equity
2013-11-28,DSP Midcap Fund,18.917,Mid Cap,Equity
2013-11-29,DSP Midcap Fund,19.084,Mid Cap,Equity
2013-11-30,DSP Midcap Fund,19.084,Mid Cap,Equity
2013-12-01,DSP Midcap Fund,19.084,Mid Cap,Equity
2013-12-02,DSP Midcap Fund,19.365,Mid Cap,Equity
2013-12-03,DSP Midcap Fund,19.433,Mid Cap,Equity
2013-12-04,DSP Midcap Fund,19.323,Mid Cap,Equity
2013-12-05,DSP Midcap Fund,19.406,Mid Cap,Equity
2013-12-06,DSP Midcap Fund,19.453,Mid Cap,Equity
2013-12-07,DSP Midcap Fund,19.453,Mid Cap,Equity
2013-12-08,DSP Midcap Fund,19.453,Mid Cap,Equity
2013-12-09,DSP Midcap Fund,19.446,Mid Cap,Equity
2013-12-10,DSP Midcap Fund,19.448,Mid Cap,Equity
2013-12-11,DSP Midcap Fund,19.376,Mid Cap,Equity
2013-12-12,DSP Midcap Fund,19.351,Mid Cap,Equity
2013-12-13,DSP Midcap Fund,19.108,Mid Cap,Equity
2013-12-14,DSP Midcap Fund,19.108,Mid Cap,Equity
2013-12-15,DSP Midcap Fund,19.108,Mid Cap,Equity
2013-12-16,DSP Midcap Fund,19.211,Mid Cap,Equity
2013-12-17,DSP Midcap Fund,19.251,Mid Cap,Equity
2013-12-18,DSP Midcap Fund,19.505,Mid Cap,Equity
2013-12-19,DSP Midcap Fund,19.571,Mid Cap,Equity
2013-12-20,DSP Midcap Fund,20.025,Mid Cap,Equity
2013-12-21,DSP Midcap Fund,20.025,Mid Cap,Equity
2013-12-22,DSP Midcap Fund,20.025,Mid Cap,Equity
2013-12-23,DSP Midcap Fund,20.178,Mid Cap,Equity
2013-12-24,DSP Midcap Fund,20.404,Mid Cap,Equity
